%VH	VH
25.0144	-0.0206221826660167
25.6379	0.0234900465966561
26.2635	-0.0112973028392249
26.887	-0.0250770735765521
27.5104	-0.00902829294728159
28.1337	0.0315750390485868
28.757	-0.00675962895554466
29.3803	0.0163047030403237
30.0057	0.00957545633763819
30.6289	0.0431613397001045
31.252	-0.0144762255708316
31.8752	0.0313946577916346
32.4982	-0.00519535611270357
33.1212	0.0599706299829584
33.7442	-0.0345133839213797
34.3672	0.0271436021742821
34.9901	0.0151617460111867
35.6151	-0.00640413312322564
36.2379	0.0422129706769151
36.8607	-0.00741492552294411
37.4834	0.049974541137858
38.1061	0.0757850077986604
38.7288	0.168257474459463
39.3514	0.173018303980926
39.974	0.16023913350239
40.5965	0.0702573258845154
41.219	0.00246816018345496
41.8414	0.0617766872770509
42.4638	0.089506214370647
43.0862	0.080394741464243
43.7085	0.141455913878036
44.3287	0.244597638015967
44.9509	0.356536455749957
45.5731	0.426365273483947
46.1953	0.311984091217938
46.8174	0.236201554272125
47.4394	0.114804662646509
48.0615	0.0898991257006963
48.6835	0.0123602340750805
49.3054	0.00499498776966166
49.9273	0.0274557414642431
50.5471	0.0446230468829622
51.1689	0.0249764458977405
51.7907	0.0176108449125189
52.4124	0.0435768892474942
53.0341	-0.00929246709289323
53.6558	0.0718326478213245
54.2753	0.0722490550745943
54.8969	0.0796898196405873
55.5184	0.167832233858355
56.1399	0.206851648076123
56.7592	0.244109354632943
57.3806	0.230496418502486
58.002	0.167761482372029
58.6233	0.0945001958933477
59.2425	0.0791255521019428
59.8637	0.042704915275036
60.4849	0.0255832784481293
61.104	0.0189802843084996
61.7251	0.00712129713336794
62.3462	0.0321043099582363
62.9672	0.0325249724348798
63.5861	-0.0109207224011997
64.2071	0.0245889400754438
64.8258	0.0197385445429144
65.4467	-0.0114574000470399
66.0676	0.051110228600175
66.6862	0.0049025431132481
67.307	0.0586989841894133
67.9277	0.0212662376945289
68.5462	0.0926023646365523
69.1669	0.104292618141668
69.7853	0.112469557512642
70.4059	0.0995986234467078
71.0242	0.135846375246632
71.6447	0.115957253609648
72.2651	0.127647944401615
72.8834	0.121789696201539
73.5037	0.126462199422456
74.1219	0.167972763651331
74.7422	0.235802266872248
75.3603	0.335205643530073
75.9804	0.48899877160889
76.5984	0.735777960695666
77.2185	0.659741088774483
77.8365	0.574940277861259
78.4543	0.423469091805935
79.0743	0.366732032313703
79.6921	0.280174846258379
80.312	0.291864599195097
80.9297	0.271970225568724
81.5496	0.287167978505442
82.1672	0.283063417308019
82.7848	0.200010856110596
83.4045	0.173103233905215
84.022	0.146191485136742
84.6395	0.0754197363682689
85.259	0.0853537390207888
85.8764	0.0286168026812662
86.4938	0.0315298663417437
87.1132	0.0554986814232139
87.7305	0.0549015575126418
88.3477	0.00693624603101993
88.967	-0.00418212645855943
89.5842	0.0390805620598187
90.2013	0.0314660630071473
90.8205	0.0343825029465182
91.4375	-0.00130318367720296
92.0545	0.0349421296990759
92.6714	0.0501342555043053
93.2905	0.0512955078726266
93.9073	0.0542074461068063
94.5242	0.0753994049574545
95.1409	0.0280960001405331
95.7577	0.00535360579794007
96.3765	0.00366342094191451
96.9932	0.0265350161249931
97.6098	0.0809856008337433
98.2264	-0.00666881445750657
98.8429	0.0337467597769152
99.4594	0.0671443340113371
100.076	0.0338759187200872
100.694	0.0532386500694347
101.311	0.0375142766754984
101.927	0.105999798538278
102.543	0.104309320401058
103.16	0.0429709470071219
103.776	0.118474468869902
104.392	0.0694159907326818
105.008	0.0852695125954618
105.624	0.157264034458242
106.24	0.127503556321022
106.856	0.174937078183802
107.472	0.208334600046582
108.088	0.292610121909362
108.704	0.333025643772141
109.32	0.506774165634921
109.936	0.752448687497701
110.551	1.2069031046172
111.167	1.88240762647998
111.783	2.51931214834276
112.399	2.26148667020554
113.014	1.51418108732503
113.63	0.854595609187814
114.245	0.50203002630731
114.861	0.42139454817009
115.476	0.338998965289586
116.092	0.244325487152366
116.707	0.230354904271862
117.322	0.311121321391358
117.935	0.351536529024287
118.551	0.360371050887067
119.166	0.344645468006563
119.781	0.28857188512606
120.396	0.214951302245556
121.011	0.206243719365052
121.624	0.179992926997981
122.239	0.227425344117477
122.854	0.209945761236973
123.469	0.257379178356469
124.084	0.290776595475966
124.696	0.297858698365611
125.311	0.290905115485107
125.926	0.287460532604603
126.541	0.334893949724099
127.153	0.284081052613744
127.768	0.377126469733241
128.382	0.529820782109453
128.997	0.463225199228949
129.609	0.493109302118594
130.224	0.496683719238091
130.838	0.431838031614303
131.451	0.302074239247232
132.065	0.200384551623444
132.679	0.110974863999657
133.291	0.100512966889302
133.906	0.0865423840087979
134.52	0.0445006963850104
135.132	0.00245979927465532
135.746	0.0393661116508679
136.358	0.0482022145405129
136.972	-0.0120335332445264
137.586	0.060830637743288
138.198	0.0126434824412398
138.812	0.0732256534290541
139.423	0.0776728349820745
140.037	0.0768520059698889
140.649	0.0707698506678407
141.263	0.566443021655655
141.874	0.0919392032086756
142.488	0.0455043741964899
143.099	0.0727585557495104
143.713	0.110533726737325
144.324	0.269365908290345
144.938	0.42118007927816
145.549	0.39930326083118
146.163	0.387962431818995
146.774	0.366095613372015
147.387	0.544216121214898
147.998	0.499539302767918
148.609	0.402232484320939
149.223	0.208430655308753
149.834	0.123403836861774
150.447	0.0734613447046569
151.058	0.0340475262576774
151.669	0.0244587078106978
152.282	0.023640215653581
152.893	-0.0105106027933987
153.503	0.0145006083421683
154.116	0.0179727160370893
154.727	0.0109132181604118
155.338	0.0582397202837344
155.951	0.0739928279786553
156.561	0.114299527316179
157.172	0.108994029439501
157.784	0.137025334348623
158.395	0.165053836471946
159.005	0.175535535809469
159.616	0.214090037932792
160.228	0.392993342841913
160.839	0.757865844965236
161.449	1.19641554430276
162.059	1.77883524364028
162.669	2.50685494297781
163.282	2.93489305067273
163.892	3.06467275001025
164.502	2.35761244934777
165.112	1.5277421486853
165.722	0.776821848022821
166.334	0.371517152931942
166.944	0.194277852269466
167.554	0.185461551606989
168.164	0.102960250944512
168.773	0.0853691474962365
169.383	0.0712888468337598
169.993	0.0747535461712833
170.603	-0.00423875449119339
171.212	0.0325561420605307
171.822	0.0447918413980541
172.434	0.0307181463071758
173.043	0.0289160428589
173.653	8.00742196423329E-4
174.262	0.0112796387481475
174.872	0.0235153380856708
175.481	0.018205234637395
176.09	0.00587713118911913
176.7	0.0303938305266424
177.309	-0.0170222729216335
177.918	0.0338076236300907
178.527	-0.0171174798181851
179.136	0.0256977620470072
179.745	0.0191335059494462
180.352	0.040637763008199
180.961	-0.0097874930893619
181.57	0.018736250813077
182.179	0.00866199471551608
182.788	0.0196417386179551
183.397	0.00956748252039417
